발생월,요일,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,일,1692,20,481,2161,186
01,월,2314,34,589,2489,195
01,화,2315,26,601,2390,189
01,수,2050,32,530,2105,197
01,목,1976,24,471,2102,163
01,금,2387,33,616,2524,223
01,토,1746,21,460,2018,136
02,일,1454,28,394,1788,140
02,월,1986,27,553,2046,170
02,화,1993,27,534,2021,174
02,수,1957,28,567,1991,160
02,목,1874,25,510,1930,199
02,금,2148,27,550,2255,184
02,토,1872,19,460,2232,183
03,일,1558,16,415,1920,161
03,월,2138,22,553,2243,172
03,화,2196,17,595,2205,182
03,수,2488,24,632,2664,225
03,목,2632,49,641,2742,201
03,금,2985,37,714,3070,240
03,토,2003,22,499,2218,166
04,일,2148,35,569,2566,257
04,월,2181,25,599,2177,237
04,화,2181,23,563,2284,195
04,수,2298,23,620,2306,188
04,목,2219,25,618,2364,202
04,금,2568,23,680,2663,258
04,토,2741,28,757,3177,269
05,일,1748,15,484,2142,215
05,월,2781,35,784,2899,266
05,화,3011,42,775,3134,315
05,수,2983,26,785,3087,274
05,목,2398,30,627,2423,212
05,금,2423,31,661,2521,268
05,토,2208,24,592,2645,231
06,일,1711,29,486,2084,211
06,월,2373,23,603,2517,236
06,화,2217,29,601,2229,210
06,수,2255,31,600,2246,215
06,목,2806,37,747,2791,319
06,금,3129,34,819,3252,295
06,토,2225,19,626,2571,219
07,일,1892,26,513,2214,229
07,월,2740,39,727,2806,300
07,화,2238,32,565,2290,228
07,수,2241,20,570,2290,217
07,목,2242,26,531,2384,193
07,금,2529,26,655,2635,218
07,토,2696,36,748,3098,302
08,일,1620,24,505,1935,151
08,월,2349,30,599,2413,225
08,화,2750,28,766,2872,273
08,수,2844,35,736,3057,286
08,목,2800,55,700,2953,312
08,금,2684,39,691,2782,263
08,토,2165,35,625,2527,242
09,일,1766,37,475,2033,207
09,월,2494,30,697,2514,246
09,화,2518,31,632,2496,269
09,수,2751,30,696,2733,257
09,목,2349,29,629,2451,224
09,금,3171,43,892,3438,326
09,토,2811,39,819,3290,327
10,일,2125,37,664,2492,252
10,월,2618,37,768,2709,276
10,화,2838,43,769,2798,240
10,수,2417,41,677,2408,222
10,목,2359,33,700,2415,226
10,금,2667,37,709,2647,205
10,토,2309,37,713,2523,240
11,일,1703,26,457,2044,180
11,월,2563,37,728,2568,223
11,화,2484,27,698,2634,271
11,수,2942,59,769,2921,272
11,목,3086,39,839,3019,279
11,금,2715,36,717,2856,270
11,토,2255,33,641,2706,206
12,일,1842,21,539,2202,193
12,월,2198,32,550,2408,184
12,화,2260,27,570,2269,219
12,수,2294,37,565,2350,200
12,목,2447,19,598,2545,221
12,금,3408,33,867,3522,320
12,토,2748,25,719,3130,309
